NUMT,NUMNODES,Volume,MegaHeightsPerSecond
1,4,0,0
1,16,6.85,0
1,36,7.44,0
1,64,7.6,0
1,100,7.64,0.01
1,400,7.74,0.03
1,900,7.75,0.07
1,1600,7.75,0.07
2,4,0,0
2,16,6.85,0
2,36,7.44,0
2,64,7.6,0
2,100,7.64,0.01
2,400,7.74,0.02
2,900,7.75,0.05
2,1600,7.75,0.08
4,4,0,0
4,16,6.85,0
4,36,7.44,0
4,64,7.6,0.01
4,100,7.64,0
4,400,7.74,0.02
4,900,7.75,0.06
4,1600,7.75,0.17
8,4,0,0
8,16,6.85,0
8,36,7.44,0
8,64,7.6,0
8,100,7.64,0.01
8,400,7.74,0.02
8,900,7.75,0.05
8,1600,7.75,0.12
12,4,0,0
12,16,6.85,0
12,36,7.44,0
12,64,7.6,0
12,100,7.64,0
12,400,7.74,0.03
12,900,7.75,0.05
12,1600,7.75,0.15
16,4,0,0
16,16,6.85,0
16,36,7.44,0
16,64,7.6,0
16,100,7.64,0.01
16,400,7.74,0.02
16,900,7.75,0.06
16,1600,7.75,0.1
20,4,0,0
20,16,6.85,0
20,36,7.44,0
20,64,7.6,0.01
20,100,7.64,0.01
20,400,7.74,0.02
20,900,7.75,0.05
20,1600,7.75,0.12
