Arraysize,Non-SIMD Mul,SIMD Mul,Mul Speed-Up,Non-SIMD Red,SIMD Red,Red Speed-Up
1000000,221.13,999.66,4.52,233.39,1791.19,7.67
2000000,220.91,878.02,3.97,228.37,1433.65,6.28
3000000,213.32,856.92,4.02,226.96,1302.62,5.74
4000000,220.58,873.15,3.96,225.46,1307.17,5.8
5000000,221.62,864.85,3.9,226.77,1303.76,5.75
6000000,220.42,872.89,3.96,227.34,1337.48,5.88
7000000,220.47,729.91,3.31,225.04,1262.45,5.61
8000000,219.25,855.14,3.9,225.62,1342.58,5.95
,,,,,,
Arraysize,Mul Speed-Up,,,,,
1000000,4.52,,,,,
2000000,3.97,,,,,
3000000,4.02,,,,,
4000000,3.96,,,,,
5000000,3.9,,,,,
6000000,3.96,,,,,
7000000,3.31,,,,,
8000000,3.9,,,,,
,,,,,,
Arraysize,Red Speed-Up,,,,,
1000000,7.67,,,,,
2000000,6.28,,,,,
3000000,5.74,,,,,
4000000,5.8,,,,,
5000000,5.75,,,,,
6000000,5.88,,,,,
7000000,5.61,,,,,
8000000,5.95,,,,,
